counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
10,1144.4,1144.38,NICO,1144.39,0,1144.37,1144.38,78741,20,1.75,6.03,16.58,7.67,1193635.37,72009,1043041096,8/19/2025,15:01:06
11,1150.01,1150.01,NITL,1150.01,0,1150.01,1150.01,1640,11.1,0.97,19.17,5.22,2.1,155251.35,29759.48,135000000,8/19/2025,15:01:06
12,,,OMU,2500.06,0,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,8/19/2025,15:01:06
13,5800,5800,PCL,5100.02,5800,5800.01,5800,158,11.25,0.19,9.27,10.78,2,697483.76,64673,120255820,8/19/2025,15:01:06
14,4923.35,4923.35,STANDARD,4923.35,0,4281.17,4923.35,93520,161.93,3.29,1.5,66.89,22.24,5776767.48,86365,1173340810,8/19/2025,15:01:06
15,460.01,460.01,SUNBIRD,460.01,0,460.01,460.01,600,13,2.83,8.83,11.33,1.72,120330.6,10624.63,261582580,8/19/2025,15:01:06
16,39.49,39.49,TNM,0,39.48,39.49,39.49,391107,0,0,2.21,45.3,8.79,455762,10060,11541200375,8/19/2025,15:01:06
1,139.98,139.98,AIRTEL,135.05,139.98,139.99,139.98,23484,2,1.43,2.77,36.04,47.94,1539780,42722.11,11000000000,8/18/2025,14:37:30
2,,,BHL,14.61,0,14.6,14.6,0,0,0,-1.6,-62.64,1.32,85822.52,-1370.11,5878254935,8/18/2025,14:37:30
3,689.96,689.89,FDHB,600.01,689.9,689.97,689.92,69843,4.73,0.69,1.56,64.29,48.88,4761159.48,74063,6901031250,8/18/2025,14:37:30
4,1450,1450,FMBCH,1450,0,1450,1450,32365,3.64,0.25,3.32,30.14,10.83,3564462.5,118254.74,2458250000,8/18/2025,14:37:30
5,17.95,17.95,ICON,0,17.95,17.95,17.95,7558,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,8/18/2025,14:37:30
6,1791.27,1791.27,ILLOVO,0,1791.27,1791.27,1791.27,83,5,0.28,1.77,56.47,8.59,1277971.53,22632,713444391,8/18/2025,14:37:30
7,19.5,19.5,MPICO,19.5,0,19.5,19.5,24191,0.43,2.21,19.06,5.25,0.69,44811.93,8540.17,2298047460,8/18/2025,14:37:30
8,6506.12,6506.11,NBM,6506.12,0,6506.09,6506.12,100205,126.35,1.94,3.37,29.7,11.32,3037913.92,102283,466931738,8/18/2025,14:37:30
9,810.13,810.11,NBS,810.12,0,810.06,810.12,3853309,10.9,1.35,3.1,32.3,21.04,2357913.69,72991,2910573356,8/18/2025,14:37:30
10,1144.37,1144.37,NICO,1144.37,0,1144.34,1144.37,120,20,1.75,6.03,16.58,7.67,1193624.94,72009,1043041096,8/18/2025,14:37:30
