counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,AIRTEL,45.5,47.48,47.48,47.48,0.0,2.5,5.27,7.07,14.14,13.82,522280.0,36925.0,11000000000.0,2024-07-11,15:08:15
2.0,,,BHL,13.05,0.0,13.05,13.05,0.0,0.0,0.0,-7.23,-13.82,1.59,10958.75,-792.76,839750705.0,2024-07-11,15:08:15
3.0,105.0,105.0,FDHB,105.01,0.0,105.0,105.0,771402.0,3.28,3.12,4.92,20.33,12.34,724608.28,35646.93,6901031250.0,2024-07-11,15:08:15
4.0,377.87,377.87,FMBCH,377.87,0.0,377.87,377.87,333210.0,3.54,0.94,6.49,15.41,4.01,928898.93,60287.2,2458250000.0,2024-07-11,15:08:15
5.0,,,ICON,0.0,15.92,15.96,15.96,0.0,0.27,1.69,17.97,5.56,0.88,106612.8,19159.35,6680000000.0,2024-07-11,15:08:15
6.0,1355.11,1355.11,ILLOVO,0.0,1355.11,1355.11,1355.11,6.0,29.2,2.15,5.87,17.03,6.95,966795.63,56758.0,713444391.0,2024-07-11,15:08:15
7.0,15.02,15.02,MPICO,15.01,15.02,15.02,15.02,275646.0,0.38,2.53,15.84,6.31,0.6,34516.67,5468.81,2298047460.0,2024-07-11,15:08:15
8.0,2700.03,2700.03,NBM,2700.03,0.0,2700.03,2700.03,3605.0,102.8,3.81,5.73,17.45,6.11,1260729.7,72245.0,466931738.0,2024-07-11,15:08:15
9.0,,,NBS,115.05,0.0,100.12,100.12,0.0,4.54,4.53,10.08,9.92,5.83,291406.6,29378.0,2910573356.0,2024-07-11,15:08:15
10.0,199.3,199.25,NICO,0.0,199.25,199.3,199.27,1468.0,10.0,5.02,14.96,6.68,2.28,207846.8,31096.0,1043041096.0,2024-07-11,15:08:15
11.0,,,NITL,0.0,411.41,411.41,411.41,0.0,6.5,1.58,38.72,2.58,1.23,55540.35,21504.55,135000000.0,2024-07-11,15:08:15
12.0,,,OMU,1500.04,0.0,1500.04,1500.04,0.0,63.37,4.22,6.58,15.2,1.36,19319.02,1271.4,12879001.0,2024-07-11,15:08:15
13.0,2500.0,2500.0,PCL,0.0,2500.0,2500.0,2500.0,40.0,46.0,1.84,13.45,7.44,1.14,300639.55,40421.0,120255820.0,2024-07-11,15:08:15
14.0,,,STANDARD,4400.0,0.0,4400.0,4400.0,0.0,108.24,2.46,5.09,19.66,5.33,1032539.91,52520.0,234668162.0,2024-07-11,15:08:15
15.0,,,SUNBIRD,224.01,0.0,224.01,224.01,0.0,7.7,3.44,8.96,11.16,1.21,58597.11,5251.9,261582580.0,2024-07-11,15:08:15
16.0,16.5,16.5,TNM,0.0,16.5,16.5,16.5,2347747.0,0.0,0.0,-2.87,-34.8,3.97,165667.43,-4760.0,10040450000.0,2024-07-11,15:08:15
