counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,127.42,127.41,AIRTEL,127.41,127.42,127.42,127.41,3348.0,2.0,1.57,3.05,32.81,43.64,1401510.0,42722.11,11000000000.0,2025-07-02,14:59:09
2.0,,,BHL,14.55,0.0,14.55,14.55,0.0,0.0,0.0,-1.6,-62.42,1.32,85528.61,-1370.11,5878254935.0,2025-07-02,14:59:09
3.0,350.12,350.12,FDHB,350.12,0.0,350.11,350.12,80000.0,4.73,1.35,3.07,32.62,24.81,2416189.06,74063.0,6901031250.0,2025-07-02,14:59:09
4.0,1200.0,1150.01,FMBCH,1200.0,0.0,1150.01,1199.69,70090.0,3.64,0.3,4.01,24.94,8.96,2949137.94,118254.74,2458250000.0,2025-07-02,14:59:09
5.0,17.92,17.92,ICON,0.0,17.92,17.92,17.92,3256.0,0.29,1.62,20.4,4.9,0.82,119705.6,24424.49,6680000000.0,2025-07-02,14:59:09
6.0,1791.28,1791.27,ILLOVO,0.0,1791.27,1791.29,1791.28,564.0,5.0,0.28,1.77,56.47,8.59,1277978.67,22632.0,713444391.0,2025-07-02,14:59:09
7.0,,,MPICO,19.02,0.0,19.02,19.02,0.0,0.43,2.26,19.54,5.12,0.67,43708.86,8540.17,2298047460.0,2025-07-02,14:59:09
8.0,6200.41,6200.41,NBM,6200.41,0.0,6200.37,6200.41,268.0,126.35,2.04,3.53,28.31,10.78,2895168.22,102283.0,466931738.0,2025-07-02,14:59:09
9.0,699.78,699.68,NBS,620.44,699.68,699.83,699.77,2631543.0,10.9,1.56,3.58,27.9,18.17,2036731.92,72991.0,2910573356.0,2025-07-02,14:59:09
10.0,865.0,865.0,NICO,854.01,865.0,865.0,865.0,39236.0,20.0,2.31,7.98,12.53,5.8,902230.55,72009.0,1043041096.0,2025-07-02,14:59:09
11.0,,,NITL,830.0,0.0,830.0,830.0,0.0,11.1,1.34,26.56,3.77,1.52,112050.0,29759.48,135000000.0,2025-07-02,14:59:09
12.0,,,OMU,2500.03,0.0,2500.03,2500.03,0.0,82.64,3.31,6.12,16.35,2.18,42444.39,2595.65,16977551.0,2025-07-02,14:59:09
13.0,5100.0,5100.0,PCL,0.0,5100.0,5100.0,5100.0,15.0,11.25,0.22,10.55,9.48,1.76,613304.68,64673.0,120255820.0,2025-07-02,14:59:09
14.0,11777.51,11777.51,STANDARD,12000.0,0.0,11777.5,11777.51,72.0,161.93,1.37,3.12,32.0,10.64,2763806.62,86365.0,234668162.0,2025-07-02,14:59:09
15.0,,,SUNBIRD,350.01,0.0,350.01,350.01,0.0,13.0,3.71,11.6,8.62,1.31,91556.52,10624.63,261582580.0,2025-07-02,14:59:09
16.0,,,TNM,29.0,0.0,29.0,29.0,0.0,0.0,0.0,3.01,33.27,6.45,334694.81,10060.0,11541200375.0,2025-07-02,14:59:09
