counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,84.99,84.98,AIRTEL,80.0,84.99,84.99,84.99,315000.0,0.0,0.0,-1.65,-60.61,-88.14,934890.0,-15424.24,11000000000.0,2025-01-21,14:56:59
2.0,,,BHL,0.0,14.55,14.55,14.55,0.0,0.0,0.0,-0.93,-107.89,12.42,85528.61,-792.76,5878254935.0,2025-01-21,14:56:59
3.0,,,FDHB,155.0,0.0,148.3,148.3,0.0,3.28,2.21,3.48,28.71,17.43,1023422.93,35646.93,6901031250.0,2025-01-21,14:56:59
4.0,555.06,555.03,FMBCH,555.05,0.0,555.01,555.04,171710.0,10.99,1.98,4.42,22.63,5.9,1364427.08,60287.2,2458250000.0,2025-01-21,14:56:59
5.0,18.04,18.03,ICON,0.0,18.04,18.04,18.04,56730.0,0.27,1.5,15.9,6.29,1.0,120507.2,19159.35,6680000000.0,2025-01-21,14:56:59
6.0,1355.09,1355.08,ILLOVO,0.0,1355.09,1355.09,1355.08,6572.0,5.0,0.37,2.34,42.72,6.5,966774.23,22632.0,713444391.0,2025-01-21,14:56:59
7.0,19.0,19.0,MPICO,18.53,19.0,18.53,19.0,33462.0,0.38,2.0,12.53,7.98,0.76,43662.9,5468.81,2298047460.0,2025-01-21,14:56:59
8.0,5000.0,4578.51,NBM,5000.0,0.0,4578.51,4928.05,111588.0,102.8,2.09,3.14,31.85,11.14,2301062.95,72245.0,466931738.0,2025-01-21,14:56:59
9.0,316.77,316.75,NBS,316.78,350.0,316.75,316.75,70712.0,4.54,1.43,3.19,31.38,18.43,921924.11,29378.0,2910573356.0,2025-01-21,14:56:59
10.0,418.98,418.97,NICO,0.0,418.97,418.98,418.97,47885.0,10.0,2.39,7.12,14.05,4.8,437002.93,31096.0,1043041096.0,2025-01-21,14:56:59
11.0,440.0,440.0,NITL,0.0,0.0,440.0,440.0,36833.0,6.5,1.48,36.2,2.76,1.32,59400.0,21504.55,135000000.0,2025-01-21,14:56:59
12.0,,,OMU,1950.01,0.0,1950.01,1950.01,0.0,63.37,3.25,4.49,22.25,1.99,28293.15,1271.4,14509231.0,2025-01-21,14:56:59
13.0,2499.97,2499.97,PCL,2499.95,2499.97,2499.95,2499.97,300.0,46.0,1.84,13.45,7.44,1.14,300635.94,40421.0,120255820.0,2025-01-21,14:56:59
14.0,,,STANDARD,6900.01,0.0,6900.01,6900.01,0.0,108.24,1.57,3.24,30.83,8.35,1619212.66,52520.0,234668162.0,2025-01-21,14:56:59
15.0,,,SUNBIRD,240.1,0.0,240.1,240.1,0.0,7.7,3.21,8.36,11.96,1.29,62805.98,5251.9,261582580.0,2025-01-21,14:56:59
16.0,20.48,20.48,TNM,0.0,20.48,20.48,20.48,2350.0,0.0,0.0,-2.31,-43.2,4.92,205628.42,-4760.0,10040450000.0,2025-01-21,14:56:59
