counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,BHL,,,12.95,12.95,0.0,0.16,1.24,3.23,30.92,1.74,10874.77,351.76,839750705.0,2019-12-27,12:37:52
2.0,,,FMBCH,68.0,75.0,75.0,75.0,0.0,0.0,0.0,6.54,15.3,3.18,184368.75,12053.97,2458250000.0,2019-12-27,12:37:52
3.0,,,ICON,9.0,0.0,10.5,10.5,0.0,0.0,0.0,1.77,56.49,1.04,70140.0,1241.63,6680000000.0,2019-12-27,12:37:52
4.0,,,ILLOVO,0.0,153.0,153.0,153.0,0.0,0.5,0.33,9.24,10.83,1.53,109156.99,10083.0,713444391.0,2019-12-27,12:37:52
5.0,,,MPICO,19.53,0.0,19.53,19.53,0.0,0.23,1.18,11.3,8.85,1.32,44880.87,5071.83,2298047460.0,2019-12-27,12:37:52
6.0,,,NBM,460.05,525.0,460.06,460.06,0.0,16.06,3.49,7.39,13.53,2.43,214816.62,15881.0,466931738.0,2019-12-27,12:37:52
7.0,,,NBS,13.0,0.0,12.55,12.55,0.0,0.0,0.0,4.65,21.5,3.17,36527.7,1699.14,2910573356.0,2019-12-27,12:37:52
8.0,,,NICO,41.5,48.5,48.49,48.49,0.0,1.7,3.51,12.87,7.77,1.96,50577.06,6510.0,1043041096.0,2019-12-27,12:37:52
9.0,,,NITL,80.0,86.0,80.0,80.0,0.0,1.0,1.25,13.17,7.59,1.09,10800.0,1422.11,135000000.0,2019-12-27,12:37:52
10.0,,,OMU,0.0,2499.99,2499.99,2499.99,0.0,104.95,4.2,13.06,7.66,3.59,31883.6,4162.56,12753493.0,2019-12-27,12:37:52
11.0,,,PCL,1190.0,1400.0,1400.0,1400.0,0.0,26.0,1.86,10.91,9.16,1.12,168358.15,18373.0,120255820.0,2019-12-27,12:37:52
12.0,,,STANDARD,730.0,0.0,730.0,730.0,0.0,24.29,3.33,6.18,16.19,2.22,171307.76,10582.0,234668162.0,2019-12-27,12:37:52
13.0,,,SUNBIRD,101.0,0.0,118.0,118.0,0.0,1.0,0.85,8.3,12.05,1.47,30866.74,2561.57,261582580.0,2019-12-27,12:37:52
14.0,,,TNM,0.0,26.0,26.0,26.0,0.0,0.75,2.88,6.38,15.66,6.81,261051.7,16666.0,10040450000.0,2019-12-27,12:37:52
