counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,100.45,100.45,AIRTEL,100.45,0.0,100.45,100.45,1000.0,2.5,2.49,3.34,29.92,29.23,1104950.0,36925.31,11000000000.0,2023-09-27,14:47:15
2.0,,,BHL,0.0,10.06,10.06,10.06,0.0,0.0,0.0,-1.61,-62.16,1.24,8447.89,-135.91,839750705.0,2023-09-27,14:47:15
3.0,74.75,74.74,FDHB,0.0,74.74,75.19,74.74,172241.0,2.19,2.93,4.45,22.49,12.33,515783.08,22931.78,6901031250.0,2023-09-27,14:47:15
4.0,415.03,415.03,FMBCH,380.0,415.03,415.03,415.03,41196.0,5.03,1.21,3.68,27.15,7.77,1020247.5,37581.97,2458250000.0,2023-09-27,14:47:15
5.0,,,ICON,0.0,18.0,18.0,18.0,0.0,0.25,1.39,13.89,7.2,1.17,120240.0,16706.11,6680000000.0,2023-09-27,14:47:15
6.0,,,ILLOVO,1121.43,0.0,1121.43,1121.43,0.0,21.0,1.87,3.33,30.04,7.93,800077.94,26630.0,713444391.0,2023-09-27,14:47:15
7.0,,,MPICO,15.0,0.0,15.0,15.0,0.0,0.36,2.4,16.61,6.02,0.66,34470.71,5726.44,2298047460.0,2023-09-27,14:47:15
8.0,2101.12,2101.12,NBM,2101.11,0.0,2101.11,2101.12,300.0,70.67,3.36,4.84,20.67,5.7,981079.61,47474.0,466931738.0,2023-09-27,14:47:15
9.0,,,NBS,0.0,109.5,109.5,109.5,0.0,3.3,3.01,5.93,16.86,8.59,318707.78,18905.0,2910573356.0,2023-09-27,14:47:15
10.0,162.49,161.99,NICO,140.0,162.0,162.5,162.48,81042.0,6.0,3.69,11.76,8.51,2.59,169473.32,19925.0,1043041096.0,2023-09-27,14:47:15
11.0,401.05,401.05,NITL,0.0,401.05,401.05,401.05,10000.0,3.15,0.79,12.92,7.74,2.25,54141.75,6993.54,135000000.0,2023-09-27,14:47:15
12.0,,,OMU,1050.0,0.0,1050.0,1050.0,0.0,43.73,4.16,8.4,11.91,1.3,14171.53,1190.04,13496693.0,2023-09-27,14:47:15
13.0,,,PCL,2200.0,2507.0,2507.0,2507.0,0.0,36.0,1.44,4.52,22.13,1.42,301481.34,13624.0,120255820.0,2023-09-27,14:47:15
14.0,,,STANDARD,2700.5,0.0,2700.01,2700.01,0.0,85.23,3.16,6.19,16.16,4.28,633606.38,39202.0,234668162.0,2023-09-27,14:47:15
15.0,,,SUNBIRD,191.04,0.0,191.03,191.03,0.0,2.0,1.05,6.1,16.38,1.63,49970.12,3050.5,261582580.0,2023-09-27,14:47:15
16.0,29.89,29.88,TNM,25.5,29.88,29.89,29.88,279810.0,0.0,0.0,-0.59,-170.46,6.45,300008.65,-1760.0,10040450000.0,2023-09-27,14:47:15
