counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,51.04,51.04,AIRTEL,51.03,0.0,51.03,51.04,60000.0,0.0,0.0,-2.75,-36.4,-52.93,561440.0,-15424.24,11000000000.0,2024-10-28,14:38:34
2.0,,,BHL,14.5,0.0,14.21,14.21,0.0,0.0,0.0,-6.64,-15.05,1.73,11932.86,-792.76,839750705.0,2024-10-28,14:38:34
3.0,149.19,149.15,FDHB,135.0,149.19,149.19,149.19,12797.0,3.28,2.2,3.46,28.88,17.54,1029564.85,35646.93,6901031250.0,2024-10-28,14:38:34
4.0,398.62,398.5,FMBCH,350.0,398.62,398.65,398.56,197.0,10.99,2.76,6.15,16.25,4.23,979760.12,60287.2,2458250000.0,2024-10-28,14:38:34
5.0,,,ICON,0.0,14.82,15.84,15.84,0.0,0.27,1.7,18.11,5.52,0.88,105811.2,19159.35,6680000000.0,2024-10-28,14:38:34
6.0,1355.09,1355.09,ILLOVO,0.0,1355.09,1355.1,1355.09,436.0,29.2,2.15,5.87,17.03,6.95,966781.36,56758.0,713444391.0,2024-10-28,14:38:34
7.0,,,MPICO,0.0,14.87,14.88,14.88,0.0,0.38,2.55,15.99,6.25,0.6,34194.95,5468.81,2298047460.0,2024-10-28,14:38:34
8.0,3449.94,3449.94,NBM,3449.94,0.0,3449.93,3449.94,870.0,102.8,2.98,4.48,22.3,7.8,1610886.48,72245.0,466931738.0,2024-10-28,14:38:34
9.0,149.61,149.61,NBS,140.0,149.61,149.61,149.61,29579893.0,4.54,3.03,6.75,14.82,8.71,435450.88,29378.0,2910573356.0,2024-10-28,14:38:34
10.0,198.79,198.79,NICO,198.79,0.0,198.78,198.79,3026.0,10.0,5.03,15.0,6.67,2.28,207346.14,31096.0,1043041096.0,2024-10-28,14:38:34
11.0,,,NITL,0.0,409.95,409.96,409.96,0.0,6.5,1.59,38.86,2.57,1.23,55344.6,21504.55,135000000.0,2024-10-28,14:38:34
12.0,,,OMU,1866.5,1950.0,1866.5,1866.5,0.0,63.37,3.4,5.49,18.21,1.63,23151.46,1271.4,12403674.0,2024-10-28,14:38:34
13.0,2499.82,2499.82,PCL,0.0,2499.82,2499.82,2499.82,25.0,46.0,1.84,13.45,7.44,1.14,300617.9,40421.0,120255820.0,2024-10-28,14:38:34
14.0,,,STANDARD,5335.11,0.0,5335.11,5335.11,0.0,108.24,2.03,4.19,23.84,6.46,1251980.46,52520.0,234668162.0,2024-10-28,14:38:34
15.0,,,SUNBIRD,240.03,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-10-28,14:38:34
16.0,21.0,21.0,TNM,20.5,21.0,20.5,21.0,466376.0,0.0,0.0,-2.26,-44.3,5.05,210849.45,-4760.0,10040450000.0,2024-10-28,14:38:34
