counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,30.0,30.0,AIRTEL,28.81,30.0,30.0,30.0,506.0,1.25,4.17,4.82,20.74,20.95,330000.0,15908.0,11000000000.0,2020-09-28,14:39:17
2.0,,,BHL,0.0,12.94,12.94,12.94,0.0,0.2,1.55,4.29,23.28,1.67,10866.37,466.7,839750705.0,2020-09-28,14:39:17
3.0,12.4,12.4,FDHB,12.0,12.4,12.49,12.4,20000.0,0.0,0.0,9.17,10.91,3.77,85572.79,7846.36,6901031250.0,2020-09-28,14:39:17
4.0,,,FMBCH,23.0,24.0,24.0,24.0,0.0,0.0,0.0,-6.24,-16.03,1.02,58998.0,-3679.93,2458250000.0,2020-09-28,14:39:17
5.0,,,ICON,0.0,12.49,12.49,12.49,0.0,0.21,1.68,8.69,11.51,1.13,83433.2,7248.62,6680000000.0,2020-09-28,14:39:17
6.0,,,ILLOVO,68.5,0.0,80.5,80.5,0.0,0.5,0.62,17.56,5.7,0.81,57432.27,10083.0,713444391.0,2020-09-28,14:39:17
7.0,,,MPICO,0.0,24.0,24.0,24.0,0.0,0.25,1.04,10.03,9.97,1.41,55153.14,5532.02,2298047460.0,2020-09-28,14:39:17
8.0,618.76,618.75,NBM,0.0,618.75,618.76,618.75,4150.0,17.91,2.89,5.92,16.89,2.87,288914.01,17106.0,466931738.0,2020-09-28,14:39:17
9.0,19.44,19.44,NBS,19.44,0.0,19.44,19.44,10006328.0,0.35,1.8,7.88,12.69,3.69,56581.55,4457.61,2910573356.0,2020-09-28,14:39:17
10.0,,,NICO,0.0,48.0,48.0,48.0,0.0,1.9,3.96,16.0,6.25,1.57,50065.97,8011.0,1043041096.0,2020-09-28,14:39:17
11.0,,,NITL,0.0,94.98,94.98,94.98,0.0,0.75,0.79,13.88,7.2,1.11,12822.3,1779.69,135000000.0,2020-09-28,14:39:17
12.0,,,OMU,0.0,2199.99,2199.99,2199.99,0.0,54.03,2.46,3.95,25.32,3.18,33267.43,1313.71,15121626.0,2020-09-28,14:39:17
13.0,,,PCL,0.0,1343.0,1343.99,1343.99,0.0,26.0,1.93,5.05,19.81,1.03,161622.62,8157.0,120255820.0,2020-09-28,14:39:17
14.0,,,STANDARD,851.0,0.0,851.0,851.0,0.0,30.26,3.56,7.95,12.58,2.29,199702.61,15879.0,234668162.0,2020-09-28,14:39:17
15.0,,,SUNBIRD,0.0,120.0,120.0,120.0,0.0,1.0,0.83,8.27,12.1,1.34,31389.91,2594.55,261582580.0,2020-09-28,14:39:17
16.0,21.0,21.0,TNM,0.0,21.0,21.3,21.0,3119.0,0.75,3.57,7.14,14.0,4.59,210849.45,15063.0,10040450000.0,2020-09-28,14:39:17
