counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,100.44,100.44,AIRTEL,0.0,100.44,100.44,100.44,3673.0,2.5,2.49,3.34,29.92,29.23,1104840.0,36925.31,11000000000.0,2023-09-18,14:41:28
2.0,,,BHL,10.06,0.0,10.06,10.06,0.0,0.0,0.0,-1.61,-62.16,1.24,8447.89,-135.91,839750705.0,2023-09-18,14:41:28
3.0,75.75,75.75,FDHB,0.0,75.75,75.75,75.75,41202.0,2.19,2.89,4.39,22.8,12.49,522753.12,22931.78,6901031250.0,2023-09-18,14:41:28
4.0,415.02,415.02,FMBCH,415.02,450.0,415.02,415.02,16800.0,5.03,1.21,3.68,27.15,7.77,1020222.92,37581.97,2458250000.0,2023-09-18,14:41:28
5.0,,,ICON,0.0,18.0,18.94,18.94,0.0,0.25,1.32,13.2,7.57,1.23,126519.2,16706.11,6680000000.0,2023-09-18,14:41:28
6.0,1121.43,1121.43,ILLOVO,1000.0,1121.43,1121.43,1121.43,231.0,21.0,1.87,3.33,30.04,7.93,800077.94,26630.0,713444391.0,2023-09-18,14:41:28
7.0,,,MPICO,15.0,17.5,17.5,17.5,0.0,0.36,2.06,14.24,7.02,0.77,40215.83,5726.44,2298047460.0,2023-09-18,14:41:28
8.0,2101.03,2101.01,NBM,2101.01,2101.03,2101.03,2101.02,8018.0,70.67,3.36,4.84,20.66,5.7,981032.92,47474.0,466931738.0,2023-09-18,14:41:28
9.0,120.0,120.0,NBS,0.0,120.0,130.5,120.0,1640.0,3.3,2.75,5.41,18.47,9.41,349268.8,18905.0,2910573356.0,2023-09-18,14:41:28
10.0,163.0,163.0,NICO,140.0,162.5,162.99,163.0,72.0,6.0,3.68,11.72,8.53,2.6,170015.7,19925.0,1043041096.0,2023-09-18,14:41:28
11.0,,,NITL,401.05,0.0,401.05,401.05,0.0,3.15,0.79,12.92,7.74,2.25,54141.75,6993.54,135000000.0,2023-09-18,14:41:28
12.0,,,OMU,1050.0,0.0,1050.0,1050.0,0.0,43.73,4.16,8.4,11.91,1.3,14171.53,1190.04,13496693.0,2023-09-18,14:41:28
13.0,2507.0,2507.0,PCL,2200.0,2507.0,2507.0,2507.0,20.0,36.0,1.44,4.52,22.13,1.42,301481.34,13624.0,120255820.0,2023-09-18,14:41:28
14.0,2650.01,2650.01,STANDARD,2650.01,0.0,2650.02,2650.01,1064.0,85.23,3.22,6.3,15.86,4.2,621872.98,39202.0,234668162.0,2023-09-18,14:41:28
15.0,,,SUNBIRD,191.02,0.0,191.02,191.02,0.0,2.0,1.05,6.1,16.38,1.63,49967.5,3050.5,261582580.0,2023-09-18,14:41:28
16.0,29.92,29.92,TNM,25.5,29.92,29.92,29.92,64373.0,0.0,0.0,-0.59,-170.69,6.46,300410.26,-1760.0,10040450000.0,2023-09-18,14:41:28
