counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,AIRTEL,47.61,0.0,47.61,47.61,0.0,2.95,6.2,6.17,16.2,15.71,523710.0,32334.93,11000000000.0,2022-05-26,14:38:51
2.0,11.01,11.01,BHL,0.0,11.01,11.01,11.01,2250.0,0.0,0.0,-4.91,-20.38,1.37,9245.66,-453.77,839750705.0,2022-05-26,14:38:51
3.0,14.51,14.51,FDHB,0.0,14.51,15.24,14.51,35678.0,1.05,7.24,11.64,8.59,3.17,100133.96,11658.84,6901031250.0,2022-05-26,14:38:51
4.0,143.99,143.99,FMBCH,135.0,143.99,144.0,143.99,13700.0,1.45,1.01,6.17,16.21,3.73,353963.42,21841.25,2458250000.0,2022-05-26,14:38:51
5.0,12.0,12.0,ICON,0.0,0.0,12.0,12.0,20679.0,0.24,2.0,10.74,9.31,0.91,80160.0,8612.79,6680000000.0,2022-05-26,14:38:51
6.0,,,ILLOVO,305.51,0.0,305.52,305.52,0.0,18.0,5.89,9.39,10.65,2.47,217971.53,20469.0,713444391.0,2022-05-26,14:38:51
7.0,,,MPICO,17.85,20.7,20.7,20.7,0.0,0.31,1.5,9.89,10.11,1.01,47569.58,4705.66,2298047460.0,2022-05-26,14:38:51
8.0,1000.01,1000.0,NBM,1000.0,0.0,1000.0,1000.0,2478.0,49.26,4.93,7.48,13.37,3.27,466931.74,34928.0,466931738.0,2022-05-26,14:38:51
9.0,22.78,22.78,NBS,21.0,22.78,22.78,22.78,14080.0,1.35,5.93,11.6,8.62,2.86,66302.86,7692.37,2910573356.0,2022-05-26,14:38:51
10.0,,,NICO,46.75,0.0,46.75,46.75,0.0,2.3,4.92,20.52,4.87,1.22,48762.17,10004.0,1043041096.0,2022-05-26,14:38:51
11.0,,,NITL,110.02,0.0,110.02,110.02,0.0,2.85,2.59,31.45,3.18,0.85,14852.7,4670.89,135000000.0,2022-05-26,14:38:51
12.0,,,OMU,,,1785.0,1785.0,0.0,41.06,2.3,4.29,23.33,2.64,29094.5,1247.05,16299439.0,2022-05-26,14:38:51
13.0,,,PCL,0.0,1900.0,1900.0,1900.0,0.0,31.0,1.63,1.57,63.65,1.45,228486.06,3590.0,120255820.0,2022-05-26,14:38:51
14.0,,,STANDARD,1600.0,0.0,1507.17,1507.17,0.0,37.07,2.46,7.0,14.28,3.02,353684.81,24769.0,234668162.0,2022-05-26,14:38:51
15.0,,,SUNBIRD,80.0,100.0,90.02,90.02,0.0,0.0,0.0,3.18,31.42,0.85,23547.66,749.39,261582580.0,2022-05-26,14:38:51
16.0,14.0,14.0,TNM,14.0,14.99,14.0,14.0,2012200.0,0.43,3.07,6.89,14.51,2.85,140566.3,9690.0,10040450000.0,2022-05-26,14:38:51
