counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,139.2,139.19,AIRTEL,0.0,139.2,139.2,139.2,16292.0,2.0,1.44,2.79,35.84,47.68,1531200.0,42722.11,11000000000.0,2025-08-28,14:46:53
2.0,,,BHL,15.0,0.0,15.0,15.0,0.0,0.0,0.0,-1.55,-64.36,1.36,88173.82,-1370.11,5878254935.0,2025-08-28,14:46:53
3.0,678.99,675.45,FDHB,0.0,675.45,679.6,676.83,205261.0,4.73,0.7,1.59,63.07,47.95,4670824.98,74063.0,6901031250.0,2025-08-28,14:46:53
4.0,1650.01,1650.0,FMBCH,1650.01,0.0,1650.0,1650.01,3287.0,3.64,0.22,2.92,34.3,12.33,4056137.08,118254.74,2458250000.0,2025-08-28,14:46:53
5.0,17.95,17.95,ICON,0.0,17.95,17.95,17.95,22366.0,0.29,1.62,20.37,4.91,0.82,119906.0,24424.49,6680000000.0,2025-08-28,14:46:53
6.0,1791.4,1791.4,ILLOVO,1791.38,1791.4,1791.38,1791.4,742.0,5.0,0.28,1.77,56.47,8.59,1278064.28,22632.0,713444391.0,2025-08-28,14:46:53
7.0,19.51,19.47,MPICO,19.51,0.0,19.48,19.51,3352565.0,0.43,2.2,19.05,5.25,0.69,44834.91,8540.17,2298047460.0,2025-08-28,14:46:53
8.0,7500.01,6506.27,NBM,7501.01,0.0,6886.88,7495.05,1602.0,126.35,1.69,2.92,34.22,13.04,3499676.72,102283.0,466931738.0,2025-08-28,14:46:53
9.0,1024.99,1024.94,NBS,930.06,1024.94,1024.99,1024.98,1049550.0,10.9,1.06,2.45,40.87,26.61,2983279.48,72991.0,2910573356.0,2025-08-28,14:46:53
10.0,1514.18,1514.18,NICO,1514.19,1740.0,1514.01,1514.18,80839.0,20.0,1.32,4.56,21.93,10.15,1579351.97,72009.0,1043041096.0,2025-08-28,14:46:53
11.0,,,NITL,1265.05,0.0,1265.04,1265.04,0.0,11.1,0.88,17.43,5.74,2.32,170780.4,29759.48,135000000.0,2025-08-28,14:46:53
12.0,,,OMU,,,2500.06,2500.06,0.0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798.0,2025-08-28,14:46:53
13.0,,,PCL,6600.0,0.0,6600.0,6600.0,0.0,11.25,0.17,8.15,12.27,2.27,793688.41,64673.0,120255820.0,2025-08-28,14:46:53
14.0,6499.53,6499.1,STANDARD,0.0,6499.1,6499.91,6499.44,31297.0,161.93,2.49,1.13,88.3,29.36,7626058.19,86365.0,1173340810.0,2025-08-28,14:46:53
15.0,460.01,460.01,SUNBIRD,460.01,0.0,460.01,460.01,3000.0,13.0,2.83,8.83,11.33,1.72,120330.6,10624.63,261582580.0,2025-08-28,14:46:53
16.0,35.95,35.67,TNM,0.0,35.67,39.09,35.9,53477.0,0.0,0.0,2.43,41.19,7.99,414329.09,10060.0,11541200375.0,2025-08-28,14:46:53
