counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,AIRTEL,51.02,0.0,51.01,51.01,0.0,0.98,1.92,0.25,398.24,47.91,561110.0,1408.99,11000000000.0,2024-04-26,14:45:41
2.0,,,BHL,13.05,0.0,13.04,13.04,0.0,0.0,0.0,-1.24,-80.57,1.61,10950.35,-135.91,839750705.0,2024-04-26,14:45:41
3.0,65.11,65.1,FDHB,65.1,65.11,65.11,65.11,174673.0,3.28,5.04,7.93,12.6,7.65,449326.14,35646.93,6901031250.0,2024-04-26,14:45:41
4.0,404.38,404.38,FMBCH,380.04,404.37,380.04,404.38,3000.0,5.03,1.24,3.78,26.45,7.57,994067.14,37581.97,2458250000.0,2024-04-26,14:45:41
5.0,,,ICON,0.0,16.8,16.8,16.8,0.0,0.25,1.49,14.89,6.72,1.09,112224.0,16706.11,6680000000.0,2024-04-26,14:45:41
6.0,1355.16,1355.16,ILLOVO,1350.15,1355.16,1355.16,1355.16,3618.0,29.2,2.15,5.87,17.03,6.95,966831.3,56758.0,713444391.0,2024-04-26,14:45:41
7.0,14.67,14.67,MPICO,14.67,0.0,14.67,14.67,11900.0,0.38,2.59,16.22,6.16,0.59,33712.36,5468.81,2298047460.0,2024-04-26,14:45:41
8.0,2400.14,2400.14,NBM,2400.13,0.0,2400.14,2400.14,163611.0,102.8,4.28,6.45,15.51,5.43,1120701.54,72245.0,466931738.0,2024-04-26,14:45:41
9.0,108.99,108.99,NBS,100.0,108.99,109.01,108.99,14585.0,4.54,4.17,9.26,10.8,6.34,317223.39,29378.0,2910573356.0,2024-04-26,14:45:41
10.0,199.52,199.5,NICO,170.0,199.51,199.53,199.5,40828.0,6.0,3.01,9.58,10.44,3.18,208086.7,19925.0,1043041096.0,2024-04-26,14:45:41
11.0,411.49,411.49,NITL,380.0,411.49,411.49,411.49,1531.0,6.5,1.58,38.71,2.58,1.23,55551.15,21504.55,135000000.0,2024-04-26,14:45:41
12.0,,,OMU,1500.03,0.0,1500.03,1500.03,0.0,63.37,4.22,6.57,15.21,1.36,19342.89,1271.4,12894999.0,2024-04-26,14:45:41
13.0,2507.0,2506.99,PCL,2200.0,2507.0,2507.0,2507.0,1301.0,36.0,1.44,4.52,22.13,1.42,301481.34,13624.0,120255820.0,2024-04-26,14:45:41
14.0,3950.26,3950.26,STANDARD,3950.25,0.0,3950.26,3950.26,74.0,108.24,2.74,5.67,17.65,4.78,927000.25,52520.0,234668162.0,2024-04-26,14:45:41
15.0,195.04,195.04,SUNBIRD,195.04,224.0,195.03,195.04,1000.0,2.0,1.03,5.98,16.72,1.66,51019.07,3050.5,261582580.0,2024-04-26,14:45:41
16.0,,,TNM,12.1,0.0,12.1,12.1,0.0,0.0,0.0,-1.45,-69.03,2.61,121489.45,-1760.0,10040450000.0,2024-04-26,14:45:41
